Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,74.059998,81.962502,73.187500,77.377502,75.584892,2934370400
2020-02-01,76.074997,81.805000,64.092499,68.339996,66.756752,3019279200
2020-03-01,70.570000,76.000000,53.152500,63.572498,62.247086,6280072400
2020-04-01,61.625000,73.632500,59.224998,73.449997,71.918648,3265299200
2020-05-01,71.562500,81.059998,71.462502,79.485001,77.827835,2805936000
2020-06-01,79.437500,93.095001,79.302498,91.199997,89.540314,3243375600
2020-07-01,91.279999,106.415001,89.144997,106.260002,104.326256,3020283200
2020-08-01,108.199997,131.000000,107.892502,129.039993,126.691696,4070061100
2020-09-01,132.759995,137.979996,103.099998,115.809998,113.907471,3885245100
2020-10-01,117.639999,125.389999,107.720001,108.860001,107.071632,2894666500
2020-11-01,109.110001,121.989998,107.320000,119.050003,117.094238,2123077300
2020-12-01,121.010002,138.789993,120.010002,132.690002,130.735321,2322189600
2021-01-01,133.520004,145.089996,126.379997,131.960007,130.016083,2240262000
2021-02-01,133.750000,137.880005,118.389999,121.260002,119.473709,1833855600
2021-03-01,123.750000,128.720001,116.209999,122.150002,120.530434,2650418200
2021-04-01,123.660004,137.070007,122.489998,131.460007,129.716995,1889857500
2021-05-01,132.039993,134.070007,122.250000,124.610001,122.957794,1711934900
2021-06-01,125.080002,137.410004,123.129997,136.960007,135.373627,1606590000
2021-07-01,136.600006,150.000000,135.759995,145.860001,144.170532,1919035100
2021-08-01,146.360001,153.490005,144.500000,151.830002,150.071381,1461542800
2021-09-01,152.830002,157.259995,141.270004,141.500000,140.070572,1797835100
2021-10-01,141.899994,153.169998,138.270004,149.800003,148.286728,1565079200
2021-11-01,148.990005,165.699997,147.479996,165.300003,163.630157,1691029000
2021-12-01,167.479996,182.130005,157.800003,177.570007,176.032745,2444766700
2022-01-01,177.830002,182.940002,154.699997,174.779999,173.266907,2108446000
2022-02-01,174.009995,176.649994,152.000000,165.119995,163.690506,1627516300
2022-03-01,164.699997,179.610001,150.100006,174.610001,173.318909,2180800100
2022-04-01,174.029999,178.490005,155.380005,157.649994,156.484283,1687795600
2022-05-01,156.710007,166.479996,132.610001,148.839996,147.739441,2401040300
2022-06-01,149.899994,151.740005,129.039993,136.720001,135.908447,1749099800
2022-07-01,136.039993,163.630005,135.660004,162.509995,161.545364,1447125400
2022-08-01,161.009995,176.149994,157.139999,157.220001,156.286789,1510239600
2022-09-01,156.639999,164.259995,138.000000,138.199997,137.570480,2084722800
2022-10-01,138.210007,157.500000,134.369995,153.339996,152.641541,1868139700
2022-11-01,155.080002,155.449997,134.380005,148.029999,147.355713,1724847700
2022-12-01,148.210007,150.919998,125.870003,129.929993,129.552719,1675731200
2023-01-01,130.279999,147.229996,124.169998,144.289993,143.871017,1443652500
2023-02-01,143.970001,157.380005,141.320007,147.410004,146.981964,1307198900
2023-03-01,146.830002,165.000000,143.899994,164.899994,164.672226,1520266600
2023-04-01,164.270004,169.850006,159.779999,169.679993,169.445618,969709700
2023-05-01,169.279999,176.389999,164.309998,172.990005,172.751053,1064690400
2023-05-26,173.320007,175.770004,173.110001,175.410004,175.410004,38975099
